id,title,category,condition,photos,included_items,purchase_year,purchase_location,description,asking_price_thb,status,price_source_1_name,price_source_1_url,price_source_1_price_thb,price_source_1_notes,total_quantity,sold_quantity
adjustabletable,Adjustable Desk,home-living,used,,,,,"Mobile and adjustable rolling C-table, ideal for use as a laptop stand or bedside table. Features a light wood-grain finish tabletop, a black metal frame, and four caster wheels for easy movement. The height can be adjusted with a manual knob.",1500,Available,,,,,1,0
aprilia-sr-gt-200-scooter,Aprilia SR GT 200 scooter,vehicles,used,,,,,"17.700 KM. Year 2022 (to confirm). All services in official Vespa Phuket. New Tires, new brake pads (front). Big service one month ago. Aprilia SR GT 200 adventure scooter in matte grey.",70000,Available,Aprilia,https://www.aprilia.com/th_TH/models/sr-gt/sr-gt-200-4s4v-2022/,119900,,1,0
basic-bike-helmet,Basic bike helmet,sports-outdoor,mint,,,,,Used for 2 days,100,Available,,,,,1,0
blackdecker-quick-easy-iron,"Tefal EASY STEAM steam iron 1400 watts, ",appliances,new,,,,Lotus's Thailand,Completely new. Never used. Model FV1941T0.,400,Available,"Bought it at 690. Just checking now Lotus is selling the same one at 479, and Tefal at 590.",https://www.tefal.co.th/p/steam-iron-easy-steam-fv1941/1830008381?srsltid=AfmBOoqeab4uDhN-0dAXIhYFs-RD0rd6QA9_8mD3M11OkroBNiLIW0pv,,,1,0
carsun-foam-sprayer,Carsun foam sprayer,home-living,mint,,,,DIY,"Carsun DIY foam sprayer with translucent tank, grey pump handle, and long wand for patio or bathroom cleaning.",p,pending-info,,,,,1,0
classical-electro-acoustic-guitar,Classical electro-acoustic guitar,home-living,used,,,,,"Classical nylon-string electro-acoustic guitar. Features a natural wood top with a dark back and sides, a cutaway for easier access to higher frets, and an onboard preamp/tuner. The headstock and bridge appear to be standard classical style.",3000,Available,,,,,1,0
decathlon-bike-lock,Decathlon bike lock,sports-outdoor,mint,,,,Decathlon Thailand,Photos captured under folder 'Decathlon bike lock'.,p,pending-info,,,,,1,0
decathlon-bottle-holder,Decathlon bottle holder,sports-outdoor,new,,,,Decathlon Thailand,Photos captured under folder 'Decathlon bottle holder'.,p,pending-info,,,,,1,0
decathlon-btwin-100-hand-pump,Rockrider Hybrid Bike Hand Pump,sports-outdoor,new,,,2025,Decathlon,"Compact and versatile bike pump for hybrid, city, mountain, BMX, and kids' bikes. Universal head connects to Presta, Schrader, or Dunlop valves.",p,pending-info,,,,,1,0
decathlon-btwin-500-hand-pump,Decathlon Hand Pump 100,sports-outdoor,new,,,,Decathlon Thailand,"Decathlon Btwin 500 compact dual-action hand pump. Black body with a light grey grip, ideal for quick inflation of road or mountain bike tires.",50,pending-info,Decathlon Website (New),https://www.decathlon.co.th/en-TH/p/bike-pump-hand-pump-one-size-decathlon-8056700.html,69,,1,0
decathlon-van-rysel-helmet,Decathlon Van Rysel helmet,sports-outdoor,mint,,,,Decathlon Thailand,"Used for one week. Mint condition. Sticker shows Fluo Yellow colourway, size 55–59 cm, 330 g, EN1078:2012+A1 certified.",600,Available,Decathlon Website (New),https://www.decathlon.co.th/en-TH/p/roadr-500-road-cycling-helmet-neon-yellow-van-rysel-8500015.html,900,,1,0
dell-optiplex-7060-sff,Dell OptiPlex 7060 Small Form Factor,electronics,used,,,,,Intel Core i-5 (8600). 512 GB NVME - 1TB SSD (To be confirmed). 16 RAM.,5000,Available,,,,,1,0
epson-ecotank-l3250,Epson EcoTank L3250 A4 Wi-Fi all-in-one,electronics,used,,,,,"Box highlights Print/Copy/Scan with Wi-Fi and Smart Panel support; ink yield quoted at 4,500 mono / 7,500 colour pages.",2500,Available,Officemate,https://www.ofm.co.th/product/epson-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%9B%E0%B8%A3%E0%B8%B4%E0%B9%89%E0%B8%99%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A1%E0%B8%B1%E0%B8%A5%E0%B8%95%E0%B8%B4%E0%B8%9F%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B9%8C%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%99%E0%B8%AD%E0%B8%B4%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B9%80%E0%B8%88%E0%B9%87%E0%B8%97-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-tank-l3250-%E0%B8%AA%E0%B8%B5%E0%B8%94%E0%B8%B3-p.4008534,4500,,1,0
gaming-chair,Gaming chair,home-living,used,,,,,"Ergonomic gaming chair in black with red accents. Features a high backrest with detachable headrest and lumbar support pillows, adjustable armrests, and a five-star base with caster wheels. The material appears to be a faux leather or PVC.",1000,Available,,,,,1,0
ikea-white-bedside-table,Ikea white bedside table,home-living,used,,,,,"IKEA KULLEN two-drawer chest in white. A simple, functional bedside table or small chest of drawers, suitable for a bedroom or guest room.",500,Last Unit,Ikea Store,https://www.ikea.com/th/th/p/hauga-bedside-table-white-80488964/?utm_source=google&utm_medium=organic-shopping&utm_campaign=shopping_feed&utm_content=free_google_shopping_clicks_Bedroomfurniture&gclsrc=aw.ds&gad_source=1&gad_campaignid=23213207989&gbraid=0AAAAADjdRfLd28yAmO1g87rDflr3kJjKj&gclid=Cj0KCQiAiebIBhDmARIsAE8PGNKkAnQO6dWKP_qbzA_8BYnFUK4ZkLOgK7aoO6k04LUVHjafQV1kPmIaAuWgEALw_wcB,990,,3,2
laundry-basket,Laundry basket,home-living,mint,,,,Lotus's Thailand,"Laundry basket or storage bin. Features a grey fabric exterior with a repeating white pattern and a solid light-colored interior lining. Includes two sturdy circular handles for easy carrying. There are 5 available, each for 20.",20,Sold,,,,,4,4
link-fross-helmet,"LINK Eros Helmet (M, 57-58 cm)",sports-outdoor,mint,,,,,"LINK Eros helmet, size M (57-58 cm) with satin grey shell, dark visor, quick-release buckle, and ventilation ports.",p,pending-info,Shopee Reliable Seller,https://shopee.co.th/product/76026921/18878116957,959,,1,0
locknlock-ceramic-pot,LocknLock ceramic pot,home-living,used,,,,,LocknLock ceramic pot with glossy white finish and matching lid.,400,Available,,,,,1,0
macbook-pro-13-2018,"Apple MacBook Pro 13"" 2018",electronics,used,,,,Spain,"2.7GHz quad-core Intel Core i7, 16GB 2133MHz LPDDR3, Intel Iris Plus 655 (1536MB), serial C02XV5GRIHD2, running macOS Sequoia 15.5.",p,pending-info,,,,,1,0
mosquitokiller,"DERMOVE HYBRID CLOUD mosquito swatter, white",home-living,mint,,,,Lotus's Thailand,Uses a purple UV light to attract insects and a fan to pull them into a collection chamber at the base. Powered via a USB cable.,100,pending-info,HomePro,https://www.homepro.co.th/p/1216390?lang=th&gad_source=1&gad_campaignid=22353566328&gbraid=0AAAAADDk-KUJDOz1CkZUo7VB629kQji08&gclid=CjwKCAiAz_DIBhBJEiwAVH2XwBqEzDDC8AqzFs55HYmMsvp0OAcO9sqNgvAh5zmZjgM3dDxFuPTKvxoCPaYQAvD_BwE,179,,1,0
platedryer,Dish drying rack,home-living,mint,,,,Lotus's Thailand,"Countertop dish drying rack with a transparent cover. Features a white plastic base with integrated draining slots and a clear, hinged lid to keep dishes protected while they dry. Includes compartments for plates, bowls, and utensils.",p,pending-info,,,,,1,0
portable-monitor-15-6,"15.6"" Touch Portable Monitor",electronics,new,,,,Lazada,Completely new.,1700,Available,Lazada,https://www.lazada.co.th/products/i5628194312-s23963773140.html?urlFlag=true&mp=1&tradePath=omItm&tradeOrderId=1049659532384847&tradeOrderLineId=1049659532484847,2300,,1,0
quechua-arpenaz-fresh-black,Decathlon Quechua Arpenaz Fresh & Black tent,sports-outdoor,used,,,,Decathlon Colombia,"Used 3-4 times only. Label notes Fresh & Black fabric, fiberglass poles, weight 3.2 kg (7 lb 10 oz). https://support.decathlon.co.uk/tent-poles-arpenaz-3-person-fresh-black-quechua",p,pending-info,Decathlon,https://www.youtube.com/watch?v=a73v6VaRhbE,,,1,0
randy-flat-mop,Randy flat floor mop,home-living,mint,,,,Lotus's Thailand,Minimalist Randy-branded flat mop with slim bottle-style handle for hard floors.,p,pending-info,,,,,1,0
samsungmonitor,"24"" Essential Monitor R35A FHD 75Hz",electronics,used,,,,,"LED IPS monitor, borderless. Good shape. No flaws. ",1500,Available,Samsung,https://www.samsung.com/th/monitors/flat/sr35-24-inch-ls24r35afhexxt/,2600,,1,0
scotch-brite-eco-dual-spin-mop,3M Scotch-Brite Eco Dual Wash Spin Mop Bucket (T7),home-living,mint,,,,Lotus's Thailand,"Used only twice. Packaging confirms Eco Dual Wash Spin Mop Bucket set with microfiber mop, model T7.",600,Available,HomePro,https://www.homepro.co.th/p/1194160?srsltid=AfmBOoo2RpU6llFiunCVTocosLp5HjoG_uCD3yYKvbIbv6orLGSATjMC,990,,1,0
scotch-brite-floor-squeegee,Scotch-Brite floor squeegee,home-living,mint,,,,Lotus's Thailand,Scotch-Brite adjustable-floor squeegee with long blue-tipped handle.,100,Available,,,,,1,0
seagate-externaldrive,"1TB Seagate External 3.5"" HDD Drive",electronics,used,,,,,Working,p,pending-info,,,,,1,0
waterbottle,Waterbottle,sports-outdoor,used,,,,,,100,Available,,,200,,2,0
xiaomi-mi-monitor-27-4k,Xiaomi Monitor 4K A27UI,electronics,mint,,,2025,Xiaomi - Robinson Thalang,"Used for 2 months. Mint condition. Has warranty. 4K, wall-mount support, and native 3840×2160 refresh spec.",7000,Available,Xiaomi Website,https://www.mi.com/th/product/xiaomi-4k-monitor-a27ui/,8990,,1,0
xiaomi-sound-outdoor-speaker,Xiaomi Sound Outdoor Bluetooth speaker,electronics,mint,,,2025,Xiaomi - Robinson Thalang,Box art reads Xiaomi Sound Outdoor with Red Dot Winner 2024 badge.,p,pending-info,Invoice,,1790,,1,0
xiaomi-watch-s4,Xiaomi Watch S4,electronics,mint,,,,Xiaomi - Robinson Thalang,"Used for 5 days only. Spec label lists model M2425W1, 5V/2A charging, Bluetooth 5.3, Android & iOS compatibility, and in-box items (watch, strap, charging dock, manual). (Model M2425W1)",4000,Available,Xiaomi Website,https://www.mi.com/th/product/xiaomi-watch-s4/,4590,,1,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,

